batch_id,plant,line,planned_qty,actual_qty,good_qty,rejected_qty,downtime_minutes,supplier_risk_score,machine_age_years,machine_criticality,shift,part_category,supplier_region,defect_risk_flag
BATCH_00024,Nashik,Line_A,1093,939,889,50,40,0.41,1,High,A,Electronics,West,1
BATCH_00025,Bangalore,Line_A,761,672,644,28,42,0.14,9,High,C,Electronics,North,1
BATCH_00026,Bangalore,Line_B,1183,1221,1155,66,34,0.23,10,Medium,B,Electronics,West,0
BATCH_00027,Chakan,Line_D,867,645,613,32,36,0.31,3,High,A,Engine,West,1
BATCH_00028,Bangalore,Line_D,881,839,795,44,34,0.31,2,Low,A,Engine,North,0
BATCH_00029,Nashik,Line_D,1068,798,712,86,35,0.77,5,Medium,C,Engine,West,1
BATCH_00030,Nashik,Line_C,1107,1023,963,60,31,0.43,2,Medium,C,Engine,West,1
BATCH_00031,Bangalore,Line_A,952,980,925,55,36,0.08,2,Medium,B,Engine,South,0
BATCH_00032,Nashik,Line_D,1160,859,835,24,42,0.31,5,Medium,B,Engine,North,0
BATCH_00033,Nashik,Line_B,794,601,577,24,36,0.13,1,High,A,Engine,East,0
BATCH_00034,Nashik,Line_D,774,611,588,23,32,0.59,2,High,B,Transmission,North,1
BATCH_00035,Chakan,Line_C,1100,970,925,45,36,0.49,11,Medium,C,Brake,South,1
BATCH_00036,Chakan,Line_B,894,795,776,19,31,0.5,2,Low,A,Axle,West,0
BATCH_00037,Bangalore,Line_B,772,579,550,29,31,0.38,1,High,A,Electronics,North,1
BATCH_00038,Bangalore,Line_B,915,876,867,9,34,0.51,2,Low,A,Axle,East,0
BATCH_00039,Nashik,Line_D,1173,1051,1026,25,35,0.44,9,Medium,B,Engine,East,1
BATCH_00040,Bangalore,Line_B,1142,956,940,16,35,0.08,7,Low,B,Engine,North,0
BATCH_00041,Chakan,Line_D,1021,929,894,35,36,0.26,2,Medium,A,Transmission,South,0
BATCH_00042,Chakan,Line_C,1258,1199,1178,21,37,0.26,11,Medium,A,Transmission,East,0
BATCH_00043,Chakan,Line_D,1028,998,980,18,42,0.08,1,Medium,A,Brake,West,0
BATCH_00044,Bangalore,Line_D,1019,926,875,51,28,0.28,3,Medium,B,Electronics,West,0
BATCH_00045,Bangalore,Line_C,1225,1245,1164,81,44,0.22,1,Medium,C,Brake,South,0
BATCH_00046,Nashik,Line_A,988,885,846,39,40,0.31,5,Low,B,Transmission,West,0
BATCH_00047,Nashik,Line_D,858,725,640,85,39,0.75,4,Medium,C,Electronics,East,1
BATCH_00048,Nashik,Line_C,722,629,609,20,46,0.14,11,Medium,A,Transmission,West,0
BATCH_00049,Chakan,Line_B,728,549,536,13,45,0.31,7,Medium,C,Axle,North,1
BATCH_00050,Nashik,Line_D,1274,1091,1049,42,34,0.42,11,Low,C,Electronics,South,1
BATCH_00051,Chakan,Line_A,1168,1039,983,56,35,0.26,8,Low,C,Brake,North,1
BATCH_00052,Bangalore,Line_B,1176,1029,982,47,36,0.19,2,Medium,C,Electronics,West,0
BATCH_00053,Nashik,Line_C,861,736,703,33,29,0.32,8,Medium,A,Axle,North,0
BATCH_00054,Bangalore,Line_D,795,831,780,51,29,0.46,6,High,C,Transmission,North,1
BATCH_00055,Chakan,Line_B,984,845,830,15,37,0.18,4,Medium,B,Axle,East,0
BATCH_00056,Chakan,Line_B,857,754,717,37,36,0.31,9,Medium,B,Brake,South,0
BATCH_00057,Nashik,Line_D,774,767,732,35,38,0.51,5,Low,B,Axle,North,0
BATCH_00058,Chakan,Line_C,1154,1049,1011,38,28,0.17,2,Low,C,Transmission,West,0
BATCH_00059,Chakan,Line_A,926,956,923,33,37,0.41,10,Medium,A,Brake,South,1
BATCH_00060,Bangalore,Line_A,995,955,932,23,25,0.62,3,High,B,Transmission,East,1
BATCH_00061,Chakan,Line_B,716,740,712,28,37,0.13,8,High,B,Engine,South,1
BATCH_00062,Bangalore,Line_D,746,547,528,19,34,0.04,7,High,B,Brake,South,0
BATCH_00063,Nashik,Line_B,887,779,756,23,32,0.23,7,High,A,Axle,South,1
BATCH_00064,Chakan,Line_A,1010,881,853,28,22,0.39,4,Low,A,Electronics,North,0
BATCH_00065,Nashik,Line_C,702,613,574,39,45,0.5,1,Low,A,Electronics,East,0
BATCH_00066,Nashik,Line_C,1139,1152,1123,29,38,0.42,4,Medium,B,Brake,South,0
BATCH_00067,Bangalore,Line_C,1216,898,841,57,44,0.4,8,Medium,A,Engine,West,1
BATCH_00068,Chakan,Line_A,1240,1256,1196,60,30,0.29,8,Medium,B,Transmission,South,0
BATCH_00069,Bangalore,Line_D,1292,956,922,34,38,0.22,8,Medium,B,Brake,East,0
BATCH_00070,Nashik,Line_D,1062,848,804,44,27,0.13,9,High,C,Transmission,East,1
BATCH_00071,Nashik,Line_A,1224,1130,1062,68,41,0.31,8,Medium,C,Transmission,West,1
BATCH_00072,Bangalore,Line_C,977,1005,937,68,39,0.22,6,Low,C,Transmission,South,0
BATCH_00073,Nashik,Line_C,1080,914,875,39,34,0.56,2,Low,C,Axle,West,1
BATCH_00074,Nashik,Line_C,1238,1245,1190,55,33,0.36,3,Low,A,Brake,East,0
BATCH_00075,Chakan,Line_B,1191,1043,1021,22,31,0.32,4,High,B,Engine,South,1
BATCH_00076,Chakan,Line_D,1200,970,931,39,38,0.14,2,High,B,Brake,West,0
BATCH_00077,Nashik,Line_B,913,883,838,45,36,0.25,1,Medium,B,Engine,West,0
BATCH_00078,Nashik,Line_D,802,612,585,27,37,0.51,7,Medium,A,Transmission,East,1
BATCH_00079,Chakan,Line_A,1017,937,926,11,34,0.65,6,Medium,B,Brake,South,1
BATCH_00080,Bangalore,Line_C,1000,923,902,21,38,0.56,5,Medium,B,Brake,South,1
BATCH_00081,Nashik,Line_A,734,581,564,17,39,0.13,5,Medium,B,Electronics,East,0
BATCH_00082,Nashik,Line_D,1211,1114,1056,58,45,0.47,10,Medium,A,Engine,North,1
BATCH_00083,Chakan,Line_A,1225,1274,1212,62,36,0.4,8,Low,A,Brake,West,0
BATCH_00084,Chakan,Line_C,1148,1119,1063,56,34,0.1,10,Low,A,Electronics,East,0
BATCH_00085,Chakan,Line_A,903,791,768,23,26,0.33,11,Low,C,Axle,East,1
BATCH_00086,Nashik,Line_D,758,624,599,25,38,0.22,8,Medium,A,Engine,North,0
BATCH_00087,Bangalore,Line_C,850,620,610,10,29,0.64,2,Low,B,Axle,North,0
BATCH_00088,Nashik,Line_B,917,773,746,27,38,0.32,9,Low,B,Axle,East,0
BATCH_00089,Bangalore,Line_C,1274,1328,1267,61,26,0.51,9,High,B,Brake,South,1
BATCH_00090,Bangalore,Line_C,1064,1053,1008,45,33,0.47,10,Medium,A,Engine,West,0
BATCH_00091,Chakan,Line_D,702,631,614,17,41,0.07,7,High,A,Axle,North,0
BATCH_00092,Nashik,Line_A,1098,878,833,45,31,0.23,5,High,C,Transmission,East,1
BATCH_00093,Bangalore,Line_B,1049,817,796,21,41,0.13,8,High,B,Engine,East,1
BATCH_00094,Nashik,Line_C,817,727,708,19,32,0.47,9,High,B,Brake,East,1
BATCH_00095,Chakan,Line_B,1138,1039,1000,39,29,0.5,1,Low,C,Brake,South,1
BATCH_00096,Chakan,Line_D,1019,779,750,29,41,0.1,1,Medium,C,Axle,South,0
BATCH_00097,Nashik,Line_B,1052,836,820,16,24,0.24,5,Medium,B,Brake,South,0
BATCH_00098,Chakan,Line_D,829,868,836,32,36,0.24,8,High,A,Engine,North,1
BATCH_00099,Chakan,Line_B,1214,1245,1208,37,26,0.22,5,High,A,Axle,East,1
BATCH_00100,Nashik,Line_D,1180,938,864,74,31,0.67,1,Medium,B,Brake,South,1
BATCH_00101,Nashik,Line_D,938,798,770,28,28,0.07,6,High,C,Axle,North,1
BATCH_00102,Bangalore,Line_D,965,956,929,27,35,0.25,4,Low,A,Transmission,East,0
BATCH_00103,Nashik,Line_B,872,785,756,29,31,0.52,2,Low,C,Transmission,East,1
BATCH_00104,Bangalore,Line_D,1044,771,742,29,28,0.2,3,High,B,Brake,North,0
BATCH_00105,Chakan,Line_B,800,738,711,27,43,0.21,5,Low,C,Brake,East,0
BATCH_00106,Bangalore,Line_C,882,756,694,62,32,0.71,1,Medium,A,Transmission,West,1
BATCH_00107,Chakan,Line_A,1007,813,772,41,42,0.3,4,High,A,Engine,East,1
BATCH_00108,Chakan,Line_D,709,728,700,28,44,0.1,8,Medium,C,Axle,North,0
BATCH_00109,Chakan,Line_B,1204,1163,1072,91,39,0.41,4,Medium,C,Electronics,North,1
BATCH_00110,Chakan,Line_A,1051,780,765,15,40,0.32,8,Medium,B,Brake,West,0
BATCH_00111,Nashik,Line_D,916,819,777,42,27,0.1,2,High,C,Engine,West,1
BATCH_00112,Bangalore,Line_C,871,683,633,50,43,0.76,7,Medium,A,Axle,South,1
BATCH_00113,Bangalore,Line_A,935,689,659,30,26,0.58,2,Low,B,Brake,North,0
BATCH_00114,Nashik,Line_B,1052,933,883,50,40,0.27,9,Medium,A,Electronics,West,0
BATCH_00115,Bangalore,Line_D,1190,978,952,26,36,0.36,9,High,B,Electronics,West,1
BATCH_00116,Chakan,Line_C,769,776,740,36,27,0.47,3,Low,C,Axle,South,1
BATCH_00117,Nashik,Line_B,1282,1126,1073,53,22,0.2,4,Medium,C,Electronics,East,0
BATCH_00118,Bangalore,Line_C,816,799,747,52,30,0.01,7,Low,C,Brake,West,0
BATCH_00119,Chakan,Line_C,1098,939,911,28,28,0.17,9,Medium,B,Axle,South,0
BATCH_00120,Nashik,Line_A,1125,1126,1096,30,34,0.38,5,Low,B,Transmission,North,0
BATCH_00121,Nashik,Line_C,881,699,660,39,24,0.39,5,Medium,C,Brake,North,1
BATCH_00122,Bangalore,Line_A,904,730,686,44,27,0.36,11,Medium,C,Transmission,East,1
BATCH_00123,Chakan,Line_B,1125,1117,1037,80,38,0.27,5,Medium,C,Brake,West,0
BATCH_00124,Nashik,Line_D,1189,890,866,24,36,0.21,10,Medium,B,Transmission,West,0
BATCH_00125,Nashik,Line_C,756,711,682,29,40,0.05,8,Medium,C,Brake,North,0
BATCH_00126,Chakan,Line_B,767,743,733,10,48,0.1,11,High,A,Transmission,West,1
BATCH_00127,Nashik,Line_D,926,698,662,36,29,0.42,3,Low,A,Electronics,West,0
BATCH_00128,Nashik,Line_B,909,701,676,25,44,0.39,3,Medium,A,Axle,East,0
BATCH_00129,Chakan,Line_A,1065,796,768,28,27,0.32,7,Medium,B,Transmission,North,0
BATCH_00130,Chakan,Line_D,830,742,711,31,41,0.37,9,High,A,Brake,South,1
BATCH_00131,Bangalore,Line_D,925,916,900,16,26,0.23,10,Low,A,Brake,North,0
BATCH_00132,Nashik,Line_A,972,969,921,48,32,0.38,2,Low,C,Engine,East,0
BATCH_00133,Nashik,Line_C,842,665,638,27,38,0.38,3,Low,C,Brake,South,0
BATCH_00134,Nashik,Line_C,1241,1222,1149,73,31,0.25,6,Medium,C,Brake,South,0
BATCH_00135,Chakan,Line_C,772,633,609,24,27,0.16,6,Medium,A,Engine,East,0
BATCH_00136,Chakan,Line_C,1033,997,940,57,35,0.29,7,Medium,C,Brake,East,1
BATCH_00137,Chakan,Line_A,900,918,851,67,34,0.41,7,Medium,C,Engine,North,1
BATCH_00138,Chakan,Line_A,878,700,672,28,31,0.16,6,Medium,A,Engine,East,0
BATCH_00139,Nashik,Line_D,961,706,699,7,37,0.32,1,Medium,A,Axle,West,1
BATCH_00140,Chakan,Line_D,1254,1252,1215,37,33,0.52,10,Medium,A,Brake,North,1
BATCH_00141,Chakan,Line_C,1193,1249,1189,60,44,0.32,8,Medium,A,Axle,South,0
BATCH_00142,Bangalore,Line_A,873,643,628,15,33,0.46,4,Medium,A,Engine,East,0
BATCH_00143,Nashik,Line_A,804,750,711,39,37,0.26,9,High,C,Axle,South,1
BATCH_00144,Chakan,Line_B,967,790,723,67,30,0.74,1,High,B,Electronics,West,1
BATCH_00145,Chakan,Line_C,729,632,602,30,32,0.34,7,Medium,A,Electronics,East,0
BATCH_00146,Chakan,Line_A,895,657,613,44,33,0.68,11,Medium,A,Transmission,East,1
BATCH_00147,Chakan,Line_B,1133,997,982,15,33,0.37,11,Medium,A,Axle,South,0
BATCH_00148,Nashik,Line_A,823,677,658,19,50,0.26,11,Medium,B,Electronics,West,0
BATCH_00149,Nashik,Line_C,1078,1074,1017,57,32,0.55,5,High,C,Electronics,North,1
BATCH_00150,Bangalore,Line_A,1134,1109,1058,51,29,0.11,3,Low,A,Axle,East,0
BATCH_00151,Nashik,Line_C,966,808,770,38,41,0.23,5,High,B,Engine,North,1
BATCH_00152,Chakan,Line_C,927,754,707,47,32,0.52,9,High,C,Transmission,East,1
BATCH_00153,Nashik,Line_B,747,783,742,41,34,0.07,3,Medium,C,Transmission,East,0
BATCH_00154,Chakan,Line_D,1019,834,824,10,25,0.57,9,Low,A,Axle,West,0
BATCH_00155,Chakan,Line_A,827,816,790,26,25,0.3,2,Medium,B,Brake,North,0
BATCH_00156,Bangalore,Line_B,989,714,671,43,22,0.17,6,Medium,C,Electronics,South,0
BATCH_00157,Nashik,Line_B,930,815,767,48,33,0.6,5,Low,C,Transmission,South,1
BATCH_00158,Chakan,Line_D,877,838,803,35,40,0.33,11,Medium,B,Transmission,South,1
BATCH_00159,Bangalore,Line_A,1260,1039,998,41,44,0.31,6,Medium,B,Axle,East,0
BATCH_00160,Bangalore,Line_A,1276,973,923,50,34,0.46,3,Medium,C,Axle,West,1
BATCH_00161,Chakan,Line_C,874,677,661,16,31,0.33,1,Medium,A,Transmission,West,0
BATCH_00162,Chakan,Line_C,1002,758,723,35,36,0.44,2,High,A,Engine,South,1
BATCH_00163,Chakan,Line_B,872,638,626,12,38,0.45,6,High,B,Engine,East,1
BATCH_00164,Bangalore,Line_A,753,670,633,37,42,0.5,8,High,C,Engine,North,0
BATCH_00165,Chakan,Line_A,1077,959,940,19,36,0.08,8,Medium,A,Transmission,West,1
BATCH_00166,Bangalore,Line_A,732,705,678,27,42,0.59,5,High,A,Engine,East,1
BATCH_00167,Bangalore,Line_A,1188,1222,1155,67,24,0.09,4,Low,C,Transmission,West,0
BATCH_00168,Nashik,Line_A,1155,1073,1013,60,32,0.69,4,Medium,C,Engine,South,1
BATCH_00169,Chakan,Line_D,1121,1003,992,11,46,0.55,6,Medium,B,Axle,North,1
BATCH_00170,Bangalore,Line_C,1127,1145,1096,49,26,0.15,6,Medium,C,Transmission,South,0
BATCH_00171,Nashik,Line_D,1010,798,752,46,40,0.32,11,Medium,C,Engine,North,1
BATCH_00172,Nashik,Line_D,836,832,811,21,30,0.14,5,High,C,Axle,North,1
BATCH_00173,Chakan,Line_B,964,743,697,46,48,0.88,4,Medium,B,Axle,East,1
BATCH_00174,Nashik,Line_C,757,764,739,25,43,0.32,6,High,A,Brake,East,1
BATCH_00175,Bangalore,Line_C,1102,845,813,32,36,0.48,4,Medium,C,Electronics,South,1
BATCH_00176,Nashik,Line_B,979,971,941,30,36,0.13,1,Medium,A,Axle,South,0
BATCH_00177,Chakan,Line_A,1056,1012,951,61,22,0.28,3,Medium,C,Electronics,North,0
BATCH_00178,Bangalore,Line_B,811,802,777,25,30,0.38,7,Medium,A,Brake,North,0
BATCH_00179,Bangalore,Line_B,953,869,796,73,36,0.64,5,High,C,Electronics,West,1
BATCH_00180,Nashik,Line_A,700,532,510,22,42,0.29,6,High,C,Axle,North,1
BATCH_00181,Nashik,Line_C,742,739,698,41,39,0.26,3,Medium,A,Engine,West,0
BATCH_00182,Chakan,Line_A,1291,985,975,10,24,0.23,5,High,B,Brake,North,1
BATCH_00183,Bangalore,Line_B,711,579,566,13,43,0.29,9,Low,A,Transmission,East,0
BATCH_00184,Nashik,Line_B,1258,1064,1037,27,36,0.19,8,Medium,A,Brake,West,0
BATCH_00185,Chakan,Line_B,1044,1006,948,58,25,0.24,7,High,C,Engine,South,1
BATCH_00186,Chakan,Line_C,833,668,642,26,30,0.38,4,Low,C,Transmission,West,0
BATCH_00187,Nashik,Line_A,947,865,821,44,46,0.35,4,High,B,Electronics,West,1
BATCH_00188,Chakan,Line_D,1069,1031,994,37,34,0.48,4,Low,A,Brake,West,0
BATCH_00189,Bangalore,Line_B,738,579,558,21,45,0.31,9,Medium,B,Transmission,West,0
BATCH_00190,Bangalore,Line_A,1037,1022,970,52,40,0.1,8,Low,C,Engine,North,0
BATCH_00191,Bangalore,Line_A,1144,1153,1141,12,46,0.43,11,High,B,Brake,South,1
BATCH_00192,Chakan,Line_C,787,807,778,29,45,0.4,1,Medium,A,Transmission,East,0
BATCH_00193,Chakan,Line_A,1295,1123,1070,53,41,0.22,10,Medium,C,Axle,East,1
BATCH_00194,Bangalore,Line_D,912,928,871,57,34,0.7,7,Low,A,Axle,North,1
BATCH_00195,Chakan,Line_B,744,576,568,8,33,0.18,1,High,B,Transmission,North,0
BATCH_00196,Chakan,Line_B,1239,1019,970,49,37,0.3,8,Medium,B,Engine,North,0
BATCH_00197,Nashik,Line_A,1053,901,874,27,35,0.27,1,Medium,B,Engine,North,0
BATCH_00198,Bangalore,Line_B,802,688,658,30,30,0.4,10,High,A,Axle,West,1
BATCH_00199,Chakan,Line_A,898,780,741,39,33,0.41,5,Low,B,Electronics,North,0
BATCH_00200,Nashik,Line_C,781,659,633,26,30,0.16,3,Medium,C,Electronics,North,0
BATCH_00201,Chakan,Line_C,761,759,717,42,36,0.73,9,Medium,A,Transmission,East,1
BATCH_00202,Nashik,Line_D,1282,1203,1169,34,34,0.3,3,High,A,Transmission,East,1
BATCH_00203,Nashik,Line_D,1219,1114,1084,30,35,0.56,10,Low,B,Transmission,East,1
BATCH_00204,Bangalore,Line_A,1068,864,835,29,35,0.1,1,Medium,B,Axle,North,0
BATCH_00205,Nashik,Line_B,906,884,844,40,34,0.16,1,Medium,B,Axle,West,0
BATCH_00206,Bangalore,Line_D,916,930,888,42,26,0.2,6,High,A,Brake,East,1
BATCH_00207,Nashik,Line_A,1272,1276,1263,13,42,0.36,11,Low,A,Brake,South,1
BATCH_00208,Chakan,Line_D,1055,773,745,28,33,0.26,5,Low,A,Brake,North,0
BATCH_00209,Chakan,Line_B,747,684,651,33,32,0.3,11,Low,C,Axle,East,1
BATCH_00210,Bangalore,Line_C,1157,1044,1005,39,34,0.51,6,High,B,Transmission,East,0
BATCH_00211,Chakan,Line_D,906,902,890,12,36,0.51,2,High,B,Brake,East,1
BATCH_00212,Chakan,Line_D,1039,1050,1006,44,29,0.57,8,Medium,C,Engine,North,1
BATCH_00213,Bangalore,Line_A,906,905,867,38,31,0.49,1,High,C,Electronics,South,1
BATCH_00214,Nashik,Line_B,783,815,788,27,29,0.29,8,Low,B,Electronics,West,0
BATCH_00215,Nashik,Line_A,1215,933,886,47,35,0.4,5,Medium,C,Electronics,East,1
BATCH_00216,Nashik,Line_A,1138,840,793,47,29,0.09,3,Low,A,Engine,East,0
BATCH_00217,Bangalore,Line_A,900,794,756,38,27,0.31,2,Medium,B,Axle,West,0
BATCH_00218,Nashik,Line_D,887,781,758,23,28,0.44,11,Low,B,Brake,East,1
BATCH_00219,Bangalore,Line_B,1121,1165,1108,57,44,0.11,3,High,A,Axle,South,1
BATCH_00220,Bangalore,Line_B,1295,1039,1027,12,31,0.12,6,Low,B,Transmission,North,0
BATCH_00221,Bangalore,Line_A,810,826,795,31,40,0.33,2,High,A,Transmission,West,1
BATCH_00222,Bangalore,Line_D,1266,1181,1155,26,22,0.32,5,Medium,A,Engine,East,0
BATCH_00223,Nashik,Line_B,1180,1150,1113,37,40,0.51,3,High,B,Axle,West,1
BATCH_00224,Bangalore,Line_A,1192,1183,1109,74,32,0.65,1,Low,C,Electronics,North,1
BATCH_00225,Bangalore,Line_D,1070,949,929,20,39,0.47,10,Medium,B,Brake,South,1
BATCH_00226,Nashik,Line_A,909,951,933,18,37,0.62,8,High,A,Transmission,North,1
BATCH_00227,Bangalore,Line_D,981,915,864,51,22,0.34,11,Low,A,Electronics,South,0
BATCH_00228,Nashik,Line_B,786,643,634,9,34,0.09,5,Low,B,Axle,West,0
BATCH_00229,Chakan,Line_D,1001,929,903,26,41,0.46,7,Medium,C,Transmission,South,1
BATCH_00230,Bangalore,Line_D,704,529,508,21,24,0.18,5,High,C,Brake,East,1
BATCH_00231,Chakan,Line_D,1144,916,877,39,36,0.35,4,Medium,B,Axle,North,0
BATCH_00232,Nashik,Line_A,707,545,517,28,36,0.61,6,Low,C,Axle,North,1
BATCH_00233,Bangalore,Line_C,1269,1200,1168,32,38,0.35,6,Medium,A,Axle,North,0
BATCH_00234,Nashik,Line_A,1190,874,840,34,37,0.38,10,Medium,A,Brake,East,1
BATCH_00235,Nashik,Line_A,1162,988,929,59,36,0.39,10,Medium,C,Engine,North,1
BATCH_00236,Bangalore,Line_B,1012,824,802,22,39,0.28,7,Low,A,Transmission,West,0
BATCH_00237,Bangalore,Line_A,987,851,809,42,32,0.55,6,Medium,C,Brake,West,1
BATCH_00238,Bangalore,Line_A,1115,1049,1001,48,34,0.39,11,High,C,Engine,South,1
BATCH_00239,Bangalore,Line_C,746,659,626,33,41,0.47,9,Medium,B,Engine,West,1
BATCH_00240,Bangalore,Line_C,1222,1214,1160,54,46,0.52,2,Low,C,Engine,North,0
BATCH_00241,Chakan,Line_D,938,687,658,29,36,0.15,11,High,C,Electronics,East,1
BATCH_00242,Bangalore,Line_A,789,592,577,15,38,0.22,10,High,A,Brake,North,1
BATCH_00243,Nashik,Line_B,720,709,680,29,33,0.27,4,Low,B,Electronics,South,0
BATCH_00244,Chakan,Line_B,920,767,742,25,30,0.37,6,High,A,Electronics,South,1
BATCH_00245,Bangalore,Line_A,999,746,718,28,34,0.18,3,Medium,A,Axle,North,0
BATCH_00246,Bangalore,Line_A,703,646,632,14,38,0.62,1,High,B,Electronics,East,1
BATCH_00247,Chakan,Line_B,894,739,704,35,34,0.04,6,High,A,Transmission,East,0
BATCH_00248,Chakan,Line_B,1253,1005,985,20,39,0.6,11,Medium,B,Electronics,East,1
BATCH_00249,Nashik,Line_B,738,685,664,21,51,0.44,9,High,A,Axle,South,1
BATCH_00250,Bangalore,Line_A,827,830,822,8,41,0.25,8,Medium,B,Brake,North,0
BATCH_00251,Bangalore,Line_D,1151,952,875,77,38,0.51,1,Medium,C,Electronics,West,1
BATCH_00252,Chakan,Line_D,905,686,646,40,44,0.42,6,High,C,Transmission,West,1
BATCH_00253,Chakan,Line_C,1286,1278,1195,83,36,0.64,4,Medium,C,Engine,West,1
BATCH_00254,Nashik,Line_B,887,676,641,35,38,0.19,4,Medium,C,Axle,West,0
BATCH_00255,Bangalore,Line_D,725,593,565,28,36,0.4,3,Low,B,Transmission,North,0
BATCH_00256,Chakan,Line_B,1068,985,939,46,40,0.46,8,High,A,Axle,East,1
BATCH_00257,Bangalore,Line_A,1265,1049,987,62,33,0.36,11,High,B,Electronics,North,1
BATCH_00258,Nashik,Line_D,863,668,635,33,33,0.33,4,High,C,Transmission,North,1
BATCH_00259,Bangalore,Line_B,786,673,651,22,37,0.35,9,Medium,A,Engine,East,0
BATCH_00260,Bangalore,Line_C,959,865,835,30,31,0.23,3,Medium,B,Engine,South,0
BATCH_00261,Nashik,Line_D,730,669,626,43,32,0.34,11,Low,A,Engine,North,1
BATCH_00262,Nashik,Line_B,1297,1134,1095,39,25,0.31,6,Medium,B,Axle,North,1
BATCH_00263,Nashik,Line_B,958,749,725,24,34,0.47,10,Medium,B,Axle,East,1
BATCH_00264,Bangalore,Line_C,724,627,614,13,37,0.29,3,Low,A,Axle,South,0
BATCH_00265,Bangalore,Line_D,822,636,615,21,35,0.3,6,Medium,C,Transmission,East,1
BATCH_00266,Chakan,Line_A,1032,1081,1041,40,21,0.16,7,Medium,A,Electronics,West,0
BATCH_00267,Nashik,Line_C,1005,779,760,19,23,0.25,9,High,A,Transmission,South,1
BATCH_00268,Chakan,Line_A,1143,887,838,49,36,0.09,4,High,C,Transmission,East,1
BATCH_00269,Chakan,Line_A,1236,910,850,60,37,0.17,2,High,C,Axle,South,1
BATCH_00270,Bangalore,Line_D,1262,1216,1178,38,43,0.15,1,Medium,B,Brake,East,0
BATCH_00271,Chakan,Line_A,1009,746,677,69,29,0.7,9,Medium,C,Brake,North,1
BATCH_00272,Chakan,Line_B,1165,865,833,32,31,0.62,11,Medium,C,Axle,South,1
BATCH_00273,Chakan,Line_D,1100,1043,1025,18,25,0.12,6,Low,C,Axle,North,0
BATCH_00274,Bangalore,Line_B,734,745,726,19,41,0.05,3,Medium,A,Engine,South,0
BATCH_00275,Bangalore,Line_D,1245,1075,1029,46,25,0.43,11,Medium,B,Electronics,East,0
BATCH_00276,Chakan,Line_C,1220,1002,992,10,34,0.45,5,Medium,B,Axle,West,0
BATCH_00277,Bangalore,Line_A,707,658,634,24,40,0.32,9,Medium,C,Axle,North,1
BATCH_00278,Bangalore,Line_B,1133,938,914,24,32,0.07,3,Medium,A,Brake,South,0
BATCH_00279,Bangalore,Line_B,843,832,802,30,38,0.2,1,Low,A,Engine,East,0
BATCH_00280,Bangalore,Line_C,972,796,750,46,26,0.43,8,Medium,C,Engine,South,1
BATCH_00281,Bangalore,Line_C,865,624,616,8,32,0.37,11,Low,A,Axle,North,0
BATCH_00282,Bangalore,Line_D,1086,842,818,24,36,0.24,7,High,A,Brake,North,1
BATCH_00283,Bangalore,Line_C,1145,976,933,43,27,0.53,8,Medium,B,Brake,North,1
