batch_id,plant,line,planned_qty,actual_qty,good_qty,rejected_qty,downtime_minutes,supplier_risk_score,machine_age_years,machine_criticality,shift,part_category,supplier_region,defect_risk_flag,production_achievement_pct,rejection_rate,good_rate,downtime_per_1000_units,is_night_shift,is_high_criticality,supplier_risk_bucket
BATCH_00011,Bangalore,Line_C,1172,924,869,55,35,0.55,9,High,B,Electronics,West,1,0.78839590443686,0.05952380952380952,0.9404761904761905,37.878787878787875,0,1,Medium
BATCH_00012,Nashik,Line_B,907,921,868,53,40,0.32,8,Medium,B,Engine,North,0,1.0154355016538037,0.05754614549402823,0.9424538545059717,43.43105320304017,0,0,Low
BATCH_00013,Nashik,Line_B,862,806,779,27,33,0.57,4,High,A,Electronics,North,1,0.9350348027842227,0.033498759305210915,0.966501240694789,40.94292803970223,0,1,Medium
BATCH_00014,Bangalore,Line_D,1064,936,880,56,29,0.21,1,Medium,C,Engine,East,0,0.8796992481203008,0.05982905982905983,0.9401709401709402,30.98290598290598,1,0,Low
BATCH_00015,Nashik,Line_D,736,755,708,47,29,0.4,5,Medium,B,Engine,South,0,1.0258152173913044,0.06225165562913907,0.937748344370861,38.41059602649007,0,0,Medium
BATCH_00016,Chakan,Line_D,854,698,677,21,31,0.52,7,High,A,Axle,East,1,0.8173302107728337,0.03008595988538682,0.9699140401146131,44.412607449856736,0,1,Medium
BATCH_00017,Nashik,Line_B,1020,758,721,37,26,0.23,2,Low,A,Transmission,North,0,0.7431372549019608,0.048812664907651716,0.9511873350923483,34.300791556728235,0,0,Low
BATCH_00018,Nashik,Line_D,1004,735,724,11,34,0.15,5,Low,B,Brake,North,0,0.7320717131474104,0.014965986394557823,0.9850340136054422,46.25850340136054,0,0,Low
BATCH_00019,Nashik,Line_D,805,665,627,38,29,0.15,5,Medium,A,Engine,South,0,0.8260869565217391,0.05714285714285714,0.9428571428571428,43.609022556390975,0,0,Low
BATCH_00020,Nashik,Line_B,1187,1220,1148,72,28,0.17,7,Medium,A,Engine,South,0,1.0278011794439763,0.05901639344262295,0.940983606557377,22.950819672131146,0,0,Low
BATCH_00021,Chakan,Line_D,1131,1115,1082,33,37,0.54,6,Medium,B,Brake,South,1,0.9858532272325375,0.029596412556053813,0.9704035874439462,33.18385650224215,0,0,Medium
BATCH_00022,Chakan,Line_D,715,531,506,25,38,0.27,8,Low,A,Brake,North,0,0.7426573426573426,0.047080979284369114,0.9529190207156308,71.56308851224105,0,0,Low
BATCH_00023,Chakan,Line_A,742,582,562,20,32,0.21,10,Medium,B,Axle,South,0,0.784366576819407,0.03436426116838488,0.9656357388316151,54.98281786941581,0,0,Low
BATCH_00024,Nashik,Line_A,1093,939,889,50,40,0.41,1,High,A,Electronics,West,1,0.859103385178408,0.05324813631522897,0.946751863684771,42.598509052183175,0,1,Medium
BATCH_00025,Bangalore,Line_A,761,672,644,28,42,0.14,9,High,C,Electronics,North,1,0.8830486202365309,0.041666666666666664,0.9583333333333334,62.49999999999999,1,1,Low
BATCH_00026,Bangalore,Line_B,1183,1221,1155,66,34,0.23,10,Medium,B,Electronics,West,0,1.0321217244294167,0.05405405405405406,0.9459459459459459,27.846027846027845,0,0,Low
BATCH_00027,Chakan,Line_D,867,645,613,32,36,0.31,3,High,A,Engine,West,1,0.7439446366782007,0.04961240310077519,0.9503875968992248,55.81395348837209,0,1,Low
BATCH_00028,Bangalore,Line_D,881,839,795,44,34,0.31,2,Low,A,Engine,North,0,0.9523269012485811,0.052443384982121574,0.9475566150178785,40.524433849821214,0,0,Low
BATCH_00029,Nashik,Line_D,1068,798,712,86,35,0.77,5,Medium,C,Engine,West,1,0.7471910112359551,0.10776942355889724,0.8922305764411027,43.859649122807014,1,0,High
BATCH_00030,Nashik,Line_C,1107,1023,963,60,31,0.43,2,Medium,C,Engine,West,1,0.924119241192412,0.05865102639296188,0.9413489736070382,30.303030303030305,1,0,Medium
BATCH_00031,Bangalore,Line_A,952,980,925,55,36,0.08,2,Medium,B,Engine,South,0,1.0294117647058822,0.05612244897959184,0.9438775510204082,36.734693877551024,0,0,Low
BATCH_00032,Nashik,Line_D,1160,859,835,24,42,0.31,5,Medium,B,Engine,North,0,0.7405172413793103,0.027939464493597205,0.9720605355064028,48.894062863795114,0,0,Low
BATCH_00033,Nashik,Line_B,794,601,577,24,36,0.13,1,High,A,Engine,East,0,0.756926952141058,0.03993344425956739,0.9600665557404326,59.900166389351085,0,1,Low
BATCH_00034,Nashik,Line_D,774,611,588,23,32,0.59,2,High,B,Transmission,North,1,0.789405684754522,0.03764320785597381,0.9623567921440261,52.37315875613748,0,1,Medium
BATCH_00035,Chakan,Line_C,1100,970,925,45,36,0.49,11,Medium,C,Brake,South,1,0.8818181818181818,0.04639175257731959,0.9536082474226805,37.11340206185567,1,0,Medium
BATCH_00036,Chakan,Line_B,894,795,776,19,31,0.5,2,Low,A,Axle,West,0,0.889261744966443,0.02389937106918239,0.9761006289308176,38.9937106918239,0,0,Medium
BATCH_00037,Bangalore,Line_B,772,579,550,29,31,0.38,1,High,A,Electronics,North,1,0.75,0.05008635578583765,0.9499136442141624,53.5405872193437,0,1,Medium
BATCH_00038,Bangalore,Line_B,915,876,867,9,34,0.51,2,Low,A,Axle,East,0,0.9573770491803278,0.010273972602739725,0.9897260273972602,38.81278538812786,0,0,Medium
BATCH_00039,Nashik,Line_D,1173,1051,1026,25,35,0.44,9,Medium,B,Engine,East,1,0.8959931798806479,0.023786869647954328,0.9762131303520457,33.301617507136065,0,0,Medium
BATCH_00040,Bangalore,Line_B,1142,956,940,16,35,0.08,7,Low,B,Engine,North,0,0.8371278458844134,0.016736401673640166,0.9832635983263598,36.61087866108787,0,0,Low
BATCH_00041,Chakan,Line_D,1021,929,894,35,36,0.26,2,Medium,A,Transmission,South,0,0.9098922624877571,0.03767491926803014,0.9623250807319699,38.751345532830996,0,0,Low
BATCH_00042,Chakan,Line_C,1258,1199,1178,21,37,0.26,11,Medium,A,Transmission,East,0,0.9531001589825119,0.01751459549624687,0.9824854045037531,30.85904920767306,0,0,Low
BATCH_00043,Chakan,Line_D,1028,998,980,18,42,0.08,1,Medium,A,Brake,West,0,0.9708171206225681,0.018036072144288578,0.9819639278557114,42.08416833667334,0,0,Low
BATCH_00044,Bangalore,Line_D,1019,926,875,51,28,0.28,3,Medium,B,Electronics,West,0,0.9087340529931305,0.0550755939524838,0.9449244060475162,30.237580993520517,0,0,Low
BATCH_00045,Bangalore,Line_C,1225,1245,1164,81,44,0.22,1,Medium,C,Brake,South,0,1.0163265306122449,0.06506024096385542,0.9349397590361446,35.34136546184739,1,0,Low
BATCH_00046,Nashik,Line_A,988,885,846,39,40,0.31,5,Low,B,Transmission,West,0,0.895748987854251,0.04406779661016949,0.9559322033898305,45.19774011299435,0,0,Low
BATCH_00047,Nashik,Line_D,858,725,640,85,39,0.75,4,Medium,C,Electronics,East,1,0.844988344988345,0.11724137931034483,0.8827586206896552,53.793103448275865,1,0,High
BATCH_00048,Nashik,Line_C,722,629,609,20,46,0.14,11,Medium,A,Transmission,West,0,0.871191135734072,0.03179650238473768,0.9682034976152624,73.13195548489666,0,0,Low
BATCH_00049,Chakan,Line_B,728,549,536,13,45,0.31,7,Medium,C,Axle,North,1,0.7541208791208791,0.023679417122040074,0.97632058287796,81.96721311475409,1,0,Low
BATCH_00050,Nashik,Line_D,1274,1091,1049,42,34,0.42,11,Low,C,Electronics,South,1,0.8563579277864992,0.0384967919340055,0.9615032080659945,31.164069660861596,1,0,Medium
BATCH_00051,Chakan,Line_A,1168,1039,983,56,35,0.26,8,Low,C,Brake,North,1,0.889554794520548,0.05389797882579403,0.9461020211742059,33.686236766121276,1,0,Low
BATCH_00052,Bangalore,Line_B,1176,1029,982,47,36,0.19,2,Medium,C,Electronics,West,0,0.875,0.0456754130223518,0.9543245869776482,34.98542274052478,1,0,Low
BATCH_00053,Nashik,Line_C,861,736,703,33,29,0.32,8,Medium,A,Axle,North,0,0.8548199767711963,0.04483695652173913,0.9551630434782609,39.40217391304348,0,0,Low
BATCH_00054,Bangalore,Line_D,795,831,780,51,29,0.46,6,High,C,Transmission,North,1,1.0452830188679245,0.061371841155234655,0.9386281588447654,34.89771359807461,1,1,Medium
BATCH_00055,Chakan,Line_B,984,845,830,15,37,0.18,4,Medium,B,Axle,East,0,0.858739837398374,0.01775147928994083,0.9822485207100592,43.78698224852071,0,0,Low
BATCH_00056,Chakan,Line_B,857,754,717,37,36,0.31,9,Medium,B,Brake,South,0,0.8798133022170361,0.04907161803713528,0.9509283819628647,47.745358090185675,0,0,Low
BATCH_00057,Nashik,Line_D,774,767,732,35,38,0.51,5,Low,B,Axle,North,0,0.9909560723514211,0.04563233376792699,0.954367666232073,49.54367666232073,0,0,Medium
BATCH_00058,Chakan,Line_C,1154,1049,1011,38,28,0.17,2,Low,C,Transmission,West,0,0.9090121317157712,0.03622497616777884,0.9637750238322211,26.692087702573883,1,0,Low
BATCH_00059,Chakan,Line_A,926,956,923,33,37,0.41,10,Medium,A,Brake,South,1,1.0323974082073435,0.034518828451882845,0.9654811715481172,38.70292887029289,0,0,Medium
BATCH_00060,Bangalore,Line_A,995,955,932,23,25,0.62,3,High,B,Transmission,East,1,0.9597989949748744,0.024083769633507852,0.9759162303664921,26.17801047120419,0,1,Medium
BATCH_00061,Chakan,Line_B,716,740,712,28,37,0.13,8,High,B,Engine,South,1,1.0335195530726258,0.03783783783783784,0.9621621621621622,50.0,0,1,Low
BATCH_00062,Bangalore,Line_D,746,547,528,19,34,0.04,7,High,B,Brake,South,0,0.7332439678284183,0.03473491773308958,0.9652650822669104,62.15722120658135,0,1,Low
BATCH_00063,Nashik,Line_B,887,779,756,23,32,0.23,7,High,A,Axle,South,1,0.8782412626832018,0.029525032092426188,0.9704749679075738,41.078305519897306,0,1,Low
BATCH_00064,Chakan,Line_A,1010,881,853,28,22,0.39,4,Low,A,Electronics,North,0,0.8722772277227723,0.03178206583427923,0.9682179341657208,24.971623155505107,0,0,Medium
BATCH_00065,Nashik,Line_C,702,613,574,39,45,0.5,1,Low,A,Electronics,East,0,0.8732193732193733,0.0636215334420881,0.9363784665579119,73.4094616639478,0,0,Medium
BATCH_00066,Nashik,Line_C,1139,1152,1123,29,38,0.42,4,Medium,B,Brake,South,0,1.0114135206321335,0.025173611111111112,0.9748263888888888,32.986111111111114,0,0,Medium
BATCH_00067,Bangalore,Line_C,1216,898,841,57,44,0.4,8,Medium,A,Engine,West,1,0.7384868421052632,0.06347438752783964,0.9365256124721604,48.99777282850779,0,0,Medium
BATCH_00068,Chakan,Line_A,1240,1256,1196,60,30,0.29,8,Medium,B,Transmission,South,0,1.0129032258064516,0.04777070063694268,0.9522292993630573,23.88535031847134,0,0,Low
BATCH_00069,Bangalore,Line_D,1292,956,922,34,38,0.22,8,Medium,B,Brake,East,0,0.739938080495356,0.03556485355648536,0.9644351464435147,39.7489539748954,0,0,Low
BATCH_00070,Nashik,Line_D,1062,848,804,44,27,0.13,9,High,C,Transmission,East,1,0.7984934086629002,0.05188679245283019,0.9481132075471698,31.839622641509436,1,1,Low
BATCH_00071,Nashik,Line_A,1224,1130,1062,68,41,0.31,8,Medium,C,Transmission,West,1,0.923202614379085,0.06017699115044248,0.9398230088495575,36.283185840707965,1,0,Low
BATCH_00072,Bangalore,Line_C,977,1005,937,68,39,0.22,6,Low,C,Transmission,South,0,1.0286591606960083,0.06766169154228856,0.9323383084577115,38.80597014925374,1,0,Low
BATCH_00073,Nashik,Line_C,1080,914,875,39,34,0.56,2,Low,C,Axle,West,1,0.8462962962962963,0.04266958424507659,0.9573304157549234,37.199124726477024,1,0,Medium
BATCH_00074,Nashik,Line_C,1238,1245,1190,55,33,0.36,3,Low,A,Brake,East,0,1.005654281098546,0.04417670682730924,0.9558232931726908,26.50602409638554,0,0,Medium
BATCH_00075,Chakan,Line_B,1191,1043,1021,22,31,0.32,4,High,B,Engine,South,1,0.8757346767422334,0.02109300095877277,0.9789069990412272,29.721955896452542,0,1,Low
BATCH_00076,Chakan,Line_D,1200,970,931,39,38,0.14,2,High,B,Brake,West,0,0.8083333333333333,0.04020618556701031,0.9597938144329897,39.175257731958766,0,1,Low
BATCH_00077,Nashik,Line_B,913,883,838,45,36,0.25,1,Medium,B,Engine,West,0,0.9671412924424972,0.05096262740656852,0.9490373725934315,40.770101925254814,0,0,Low
BATCH_00078,Nashik,Line_D,802,612,585,27,37,0.51,7,Medium,A,Transmission,East,1,0.7630922693266833,0.04411764705882353,0.9558823529411765,60.45751633986928,0,0,Medium
BATCH_00079,Chakan,Line_A,1017,937,926,11,34,0.65,6,Medium,B,Brake,South,1,0.9213372664700098,0.011739594450373533,0.9882604055496265,36.28601921024546,0,0,Medium
BATCH_00080,Bangalore,Line_C,1000,923,902,21,38,0.56,5,Medium,B,Brake,South,1,0.923,0.02275189599133261,0.9772481040086674,41.17009750812568,0,0,Medium
BATCH_00081,Nashik,Line_A,734,581,564,17,39,0.13,5,Medium,B,Electronics,East,0,0.7915531335149864,0.029259896729776247,0.9707401032702238,67.12564543889846,0,0,Low
BATCH_00082,Nashik,Line_D,1211,1114,1056,58,45,0.47,10,Medium,A,Engine,North,1,0.9199009083402147,0.05206463195691203,0.947935368043088,40.39497307001795,0,0,Medium
BATCH_00083,Chakan,Line_A,1225,1274,1212,62,36,0.4,8,Low,A,Brake,West,0,1.04,0.04866562009419152,0.9513343799058085,28.2574568288854,0,0,Medium
BATCH_00084,Chakan,Line_C,1148,1119,1063,56,34,0.1,10,Low,A,Electronics,East,0,0.9747386759581882,0.050044682752457555,0.9499553172475425,30.384271671134943,0,0,Low
BATCH_00085,Chakan,Line_A,903,791,768,23,26,0.33,11,Low,C,Axle,East,1,0.875968992248062,0.029077117572692796,0.9709228824273072,32.86978508217446,1,0,Low
BATCH_00086,Nashik,Line_D,758,624,599,25,38,0.22,8,Medium,A,Engine,North,0,0.8232189973614775,0.04006410256410257,0.9599358974358975,60.8974358974359,0,0,Low
BATCH_00087,Bangalore,Line_C,850,620,610,10,29,0.64,2,Low,B,Axle,North,0,0.7294117647058823,0.016129032258064516,0.9838709677419355,46.774193548387096,0,0,Medium
BATCH_00088,Nashik,Line_B,917,773,746,27,38,0.32,9,Low,B,Axle,East,0,0.8429661941112323,0.03492884864165589,0.9650711513583441,49.159120310478656,0,0,Low
BATCH_00089,Bangalore,Line_C,1274,1328,1267,61,26,0.51,9,High,B,Brake,South,1,1.042386185243328,0.04593373493975904,0.954066265060241,19.57831325301205,0,1,Medium
BATCH_00090,Bangalore,Line_C,1064,1053,1008,45,33,0.47,10,Medium,A,Engine,West,0,0.9896616541353384,0.042735042735042736,0.9572649572649573,31.33903133903134,0,0,Medium
BATCH_00091,Chakan,Line_D,702,631,614,17,41,0.07,7,High,A,Axle,North,0,0.8988603988603988,0.02694136291600634,0.9730586370839936,64.97622820919176,0,1,Low
BATCH_00092,Nashik,Line_A,1098,878,833,45,31,0.23,5,High,C,Transmission,East,1,0.7996357012750456,0.05125284738041002,0.94874715261959,35.30751708428246,1,1,Low
BATCH_00093,Bangalore,Line_B,1049,817,796,21,41,0.13,8,High,B,Engine,East,1,0.778836987607245,0.025703794369645042,0.9742962056303549,50.18359853121175,0,1,Low
BATCH_00094,Nashik,Line_C,817,727,708,19,32,0.47,9,High,B,Brake,East,1,0.8898408812729498,0.026134800550206328,0.9738651994497937,44.016506189821186,0,1,Medium
BATCH_00095,Chakan,Line_B,1138,1039,1000,39,29,0.5,1,Low,C,Brake,South,1,0.9130052724077329,0.03753609239653513,0.9624639076034649,27.911453320500485,1,0,Medium
BATCH_00096,Chakan,Line_D,1019,779,750,29,41,0.1,1,Medium,C,Axle,South,0,0.7644749754661433,0.037227214377406934,0.962772785622593,52.63157894736842,1,0,Low
BATCH_00097,Nashik,Line_B,1052,836,820,16,24,0.24,5,Medium,B,Brake,South,0,0.7946768060836502,0.019138755980861243,0.9808612440191388,28.70813397129187,0,0,Low
BATCH_00098,Chakan,Line_D,829,868,836,32,36,0.24,8,High,A,Engine,North,1,1.0470446320868516,0.03686635944700461,0.9631336405529954,41.474654377880185,0,1,Low
BATCH_00099,Chakan,Line_B,1214,1245,1208,37,26,0.22,5,High,A,Axle,East,1,1.0255354200988467,0.02971887550200803,0.970281124497992,20.88353413654618,0,1,Low
BATCH_00100,Nashik,Line_D,1180,938,864,74,31,0.67,1,Medium,B,Brake,South,1,0.7949152542372881,0.07889125799573561,0.9211087420042644,33.04904051172708,0,0,High
BATCH_00101,Nashik,Line_D,938,798,770,28,28,0.07,6,High,C,Axle,North,1,0.8507462686567164,0.03508771929824561,0.9649122807017544,35.08771929824561,1,1,Low
BATCH_00102,Bangalore,Line_D,965,956,929,27,35,0.25,4,Low,A,Transmission,East,0,0.9906735751295337,0.028242677824267783,0.9717573221757322,36.61087866108787,0,0,Low
BATCH_00103,Nashik,Line_B,872,785,756,29,31,0.52,2,Low,C,Transmission,East,1,0.9002293577981652,0.03694267515923567,0.9630573248407643,39.49044585987261,1,0,Medium
BATCH_00104,Bangalore,Line_D,1044,771,742,29,28,0.2,3,High,B,Brake,North,0,0.7385057471264368,0.03761348897535668,0.9623865110246433,36.31647211413748,0,1,Low
BATCH_00105,Chakan,Line_B,800,738,711,27,43,0.21,5,Low,C,Brake,East,0,0.9225,0.036585365853658534,0.9634146341463414,58.265582655826556,1,0,Low
BATCH_00106,Bangalore,Line_C,882,756,694,62,32,0.71,1,Medium,A,Transmission,West,1,0.8571428571428571,0.082010582010582,0.917989417989418,42.32804232804233,0,0,High
BATCH_00107,Chakan,Line_A,1007,813,772,41,42,0.3,4,High,A,Engine,East,1,0.8073485600794439,0.05043050430504305,0.949569495694957,51.66051660516605,0,1,Low
BATCH_00108,Chakan,Line_D,709,728,700,28,44,0.1,8,Medium,C,Axle,North,0,1.0267983074753173,0.038461538461538464,0.9615384615384616,60.43956043956044,1,0,Low
BATCH_00109,Chakan,Line_B,1204,1163,1072,91,39,0.41,4,Medium,C,Electronics,North,1,0.9659468438538206,0.07824591573516768,0.9217540842648323,33.53396388650043,1,0,Medium
BATCH_00110,Chakan,Line_A,1051,780,765,15,40,0.32,8,Medium,B,Brake,West,0,0.7421503330161751,0.019230769230769232,0.9807692307692307,51.28205128205128,0,0,Low
BATCH_00111,Nashik,Line_D,916,819,777,42,27,0.1,2,High,C,Engine,West,1,0.8941048034934498,0.05128205128205128,0.9487179487179487,32.96703296703297,1,1,Low
BATCH_00112,Bangalore,Line_C,871,683,633,50,43,0.76,7,Medium,A,Axle,South,1,0.7841561423650976,0.07320644216691069,0.9267935578330894,62.95754026354319,0,0,High
BATCH_00113,Bangalore,Line_A,935,689,659,30,26,0.58,2,Low,B,Brake,North,0,0.7368983957219252,0.04354136429608128,0.9564586357039188,37.735849056603776,0,0,Medium
BATCH_00114,Nashik,Line_B,1052,933,883,50,40,0.27,9,Medium,A,Electronics,West,0,0.8868821292775665,0.05359056806002144,0.9464094319399786,42.872454448017145,0,0,Low
BATCH_00115,Bangalore,Line_D,1190,978,952,26,36,0.36,9,High,B,Electronics,West,1,0.8218487394957983,0.026584867075664622,0.9734151329243353,36.809815950920246,0,1,Medium
BATCH_00116,Chakan,Line_C,769,776,740,36,27,0.47,3,Low,C,Axle,South,1,1.0091027308192457,0.04639175257731959,0.9536082474226805,34.79381443298969,1,0,Medium
BATCH_00117,Nashik,Line_B,1282,1126,1073,53,22,0.2,4,Medium,C,Electronics,East,0,0.8783151326053042,0.04706927175843695,0.9529307282415631,19.538188277087034,1,0,Low
BATCH_00118,Bangalore,Line_C,816,799,747,52,30,0.01,7,Low,C,Brake,West,0,0.9791666666666666,0.06508135168961202,0.934918648310388,37.546933667083856,1,0,Low
BATCH_00119,Chakan,Line_C,1098,939,911,28,28,0.17,9,Medium,B,Axle,South,0,0.855191256830601,0.029818956336528223,0.9701810436634718,29.818956336528224,0,0,Low
BATCH_00120,Nashik,Line_A,1125,1126,1096,30,34,0.38,5,Low,B,Transmission,North,0,1.000888888888889,0.02664298401420959,0.9733570159857904,30.195381882770874,0,0,Medium
BATCH_00121,Nashik,Line_C,881,699,660,39,24,0.39,5,Medium,C,Brake,North,1,0.793416572077185,0.055793991416309016,0.944206008583691,34.33476394849786,1,0,Medium
BATCH_00122,Bangalore,Line_A,904,730,686,44,27,0.36,11,Medium,C,Transmission,East,1,0.8075221238938053,0.06027397260273973,0.9397260273972603,36.986301369863014,1,0,Medium
BATCH_00123,Chakan,Line_B,1125,1117,1037,80,38,0.27,5,Medium,C,Brake,West,0,0.9928888888888889,0.07162041181736795,0.928379588182632,34.01969561324977,1,0,Low
BATCH_00124,Nashik,Line_D,1189,890,866,24,36,0.21,10,Medium,B,Transmission,West,0,0.7485281749369218,0.02696629213483146,0.9730337078651685,40.449438202247194,0,0,Low
BATCH_00125,Nashik,Line_C,756,711,682,29,40,0.05,8,Medium,C,Brake,North,0,0.9404761904761905,0.040787623066104076,0.9592123769338959,56.258790436005626,1,0,Low
BATCH_00126,Chakan,Line_B,767,743,733,10,48,0.1,11,High,A,Transmission,West,1,0.9687092568448501,0.013458950201884253,0.9865410497981157,64.60296096904442,0,1,Low
BATCH_00127,Nashik,Line_D,926,698,662,36,29,0.42,3,Low,A,Electronics,West,0,0.7537796976241901,0.05157593123209169,0.9484240687679083,41.54727793696275,0,0,Medium
BATCH_00128,Nashik,Line_B,909,701,676,25,44,0.39,3,Medium,A,Axle,East,0,0.7711771177117712,0.03566333808844508,0.9643366619115549,62.767475035663345,0,0,Medium
BATCH_00129,Chakan,Line_A,1065,796,768,28,27,0.32,7,Medium,B,Transmission,North,0,0.7474178403755869,0.035175879396984924,0.964824120603015,33.91959798994975,0,0,Low
BATCH_00130,Chakan,Line_D,830,742,711,31,41,0.37,9,High,A,Brake,South,1,0.8939759036144578,0.04177897574123989,0.9582210242587601,55.25606469002695,0,1,Medium
BATCH_00131,Bangalore,Line_D,925,916,900,16,26,0.23,10,Low,A,Brake,North,0,0.9902702702702703,0.017467248908296942,0.982532751091703,28.38427947598253,0,0,Low
BATCH_00132,Nashik,Line_A,972,969,921,48,32,0.38,2,Low,C,Engine,East,0,0.9969135802469136,0.04953560371517028,0.9504643962848297,33.02373581011352,1,0,Medium
BATCH_00133,Nashik,Line_C,842,665,638,27,38,0.38,3,Low,C,Brake,South,0,0.7897862232779097,0.0406015037593985,0.9593984962406015,57.14285714285714,1,0,Medium
BATCH_00134,Nashik,Line_C,1241,1222,1149,73,31,0.25,6,Medium,C,Brake,South,0,0.984689766317486,0.05973813420621931,0.9402618657937807,25.368248772504092,1,0,Low
BATCH_00135,Chakan,Line_C,772,633,609,24,27,0.16,6,Medium,A,Engine,East,0,0.8199481865284974,0.037914691943127965,0.9620853080568721,42.654028436018955,0,0,Low
BATCH_00136,Chakan,Line_C,1033,997,940,57,35,0.29,7,Medium,C,Brake,East,1,0.9651500484027106,0.05717151454363089,0.9428284854563691,35.10531594784353,1,0,Low
BATCH_00137,Chakan,Line_A,900,918,851,67,34,0.41,7,Medium,C,Engine,North,1,1.02,0.07298474945533769,0.9270152505446623,37.03703703703704,1,0,Medium
BATCH_00138,Chakan,Line_A,878,700,672,28,31,0.16,6,Medium,A,Engine,East,0,0.7972665148063781,0.04,0.96,44.28571428571429,0,0,Low
BATCH_00139,Nashik,Line_D,961,706,699,7,37,0.32,1,Medium,A,Axle,West,1,0.7346514047866806,0.009915014164305949,0.990084985835694,52.40793201133145,0,0,Low
BATCH_00140,Chakan,Line_D,1254,1252,1215,37,33,0.52,10,Medium,A,Brake,North,1,0.9984051036682615,0.029552715654952075,0.9704472843450479,26.357827476038338,0,0,Medium
BATCH_00141,Chakan,Line_C,1193,1249,1189,60,44,0.32,8,Medium,A,Axle,South,0,1.046940486169321,0.04803843074459568,0.9519615692554043,35.22818254603683,0,0,Low
BATCH_00142,Bangalore,Line_A,873,643,628,15,33,0.46,4,Medium,A,Engine,East,0,0.736540664375716,0.02332814930015552,0.9766718506998445,51.32192846034214,0,0,Medium
BATCH_00143,Nashik,Line_A,804,750,711,39,37,0.26,9,High,C,Axle,South,1,0.9328358208955224,0.052,0.948,49.333333333333336,1,1,Low
BATCH_00144,Chakan,Line_B,967,790,723,67,30,0.74,1,High,B,Electronics,West,1,0.8169596690796277,0.08481012658227848,0.9151898734177215,37.974683544303794,0,1,High
BATCH_00145,Chakan,Line_C,729,632,602,30,32,0.34,7,Medium,A,Electronics,East,0,0.8669410150891632,0.04746835443037975,0.9525316455696202,50.63291139240506,0,0,Medium
BATCH_00146,Chakan,Line_A,895,657,613,44,33,0.68,11,Medium,A,Transmission,East,1,0.7340782122905027,0.0669710806697108,0.9330289193302892,50.2283105022831,0,0,High
BATCH_00147,Chakan,Line_B,1133,997,982,15,33,0.37,11,Medium,A,Axle,South,0,0.8799646954986761,0.015045135406218655,0.9849548645937813,33.09929789368104,0,0,Medium
BATCH_00148,Nashik,Line_A,823,677,658,19,50,0.26,11,Medium,B,Electronics,West,0,0.8226002430133658,0.028064992614475627,0.9719350073855244,73.85524372230428,0,0,Low
BATCH_00149,Nashik,Line_C,1078,1074,1017,57,32,0.55,5,High,C,Electronics,North,1,0.9962894248608535,0.05307262569832402,0.946927374301676,29.795158286778396,1,1,Medium
BATCH_00150,Bangalore,Line_A,1134,1109,1058,51,29,0.11,3,Low,A,Axle,East,0,0.9779541446208113,0.045987376014427414,0.9540126239855726,26.149684400360684,0,0,Low
BATCH_00151,Nashik,Line_C,966,808,770,38,41,0.23,5,High,B,Engine,North,1,0.8364389233954451,0.04702970297029703,0.9529702970297029,50.74257425742574,0,1,Low
